epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,485.698,1.25627,1.19618,1.42214,0.66112,0.60518,0.67304,0.3436,1.61872,1.42866,1.77883,0.0005941,0.0005941,0.0005941
43,496.224,1.30096,1.24072,1.43896,0.62477,0.64083,0.69164,0.35935,1.58016,1.3719,1.75488,0.0005842,0.0005842,0.0005842
44,507.656,1.26442,1.19154,1.42746,0.63213,0.64917,0.71093,0.3672,1.5492,1.33296,1.75635,0.0005743,0.0005743,0.0005743
45,517.549,1.27249,1.18442,1.42828,0.61581,0.64271,0.67809,0.34452,1.63212,1.40778,1.80447,0.0005644,0.0005644,0.0005644
46,529.816,1.25775,1.19705,1.42578,0.59938,0.66023,0.68591,0.35295,1.61463,1.36342,1.76633,0.0005545,0.0005545,0.0005545
47,540.507,1.27578,1.21845,1.43832,0.65278,0.64808,0.69075,0.35635,1.56699,1.4053,1.75816,0.0005446,0.0005446,0.0005446
48,551.663,1.25873,1.17747,1.43109,0.62567,0.6699,0.67835,0.34201,1.61002,1.41783,1.82438,0.0005347,0.0005347,0.0005347
49,563.645,1.28445,1.20079,1.43725,0.65069,0.686,0.72019,0.38026,1.56113,1.3104,1.75437,0.0005248,0.0005248,0.0005248
50,572.506,1.26718,1.17103,1.41407,0.6596,0.66243,0.69759,0.36035,1.61356,1.36737,1.74657,0.0005149,0.0005149,0.0005149
51,584.191,1.2577,1.18989,1.42917,0.63411,0.66039,0.69777,0.3504,1.63383,1.37831,1.80135,0.000505,0.000505,0.000505
52,597.06,1.24977,1.17376,1.4147,0.62714,0.66662,0.66762,0.33466,1.59949,1.38278,1.77206,0.0004951,0.0004951,0.0004951
53,608.037,1.23982,1.13129,1.41196,0.64801,0.61045,0.67396,0.33989,1.67494,1.40005,1.82096,0.0004852,0.0004852,0.0004852
54,619.368,1.25173,1.15211,1.40494,0.66571,0.65411,0.70954,0.36334,1.6102,1.34643,1.7856,0.0004753,0.0004753,0.0004753
55,630.11,1.22416,1.14767,1.40063,0.64463,0.65371,0.70288,0.34863,1.63489,1.38348,1.81624,0.0004654,0.0004654,0.0004654
56,641.179,1.23484,1.13684,1.40763,0.57637,0.69317,0.65633,0.33197,1.61078,1.40615,1.79578,0.0004555,0.0004555,0.0004555
57,654.781,1.25337,1.15677,1.4094,0.63336,0.67188,0.69768,0.35355,1.57996,1.35047,1.74583,0.0004456,0.0004456,0.0004456
58,664.046,1.24816,1.15236,1.40901,0.66296,0.64209,0.69952,0.36733,1.56861,1.31723,1.75588,0.0004357,0.0004357,0.0004357
59,673.087,1.24141,1.12137,1.40288,0.64602,0.65232,0.68774,0.3555,1.59294,1.34648,1.75222,0.0004258,0.0004258,0.0004258
60,683.695,1.21697,1.10967,1.39377,0.60629,0.66514,0.67306,0.34986,1.60434,1.35367,1.79504,0.0004159,0.0004159,0.0004159
61,692.746,1.20459,1.11782,1.38009,0.6372,0.67269,0.71549,0.37301,1.58585,1.33107,1.7798,0.000406,0.000406,0.000406
62,701.471,1.20939,1.14231,1.39141,0.62935,0.64615,0.68145,0.35417,1.58638,1.37357,1.75176,0.0003961,0.0003961,0.0003961
63,710.961,1.22256,1.11608,1.39761,0.64033,0.68457,0.70731,0.3661,1.59772,1.35288,1.81734,0.0003862,0.0003862,0.0003862
64,722.562,1.19357,1.07949,1.37203,0.61431,0.66697,0.6762,0.36057,1.59679,1.31996,1.78019,0.0003763,0.0003763,0.0003763
65,733.364,1.19607,1.10094,1.37876,0.63487,0.65379,0.69979,0.36284,1.59721,1.33048,1.78639,0.0003664,0.0003664,0.0003664
66,745.026,1.18866,1.05095,1.36514,0.62294,0.68182,0.7162,0.36991,1.6017,1.3065,1.78932,0.0003565,0.0003565,0.0003565
67,755.253,1.19171,1.07078,1.37402,0.60483,0.66574,0.67824,0.34587,1.59444,1.3416,1.76963,0.0003466,0.0003466,0.0003466
68,765.557,1.18905,1.07312,1.37477,0.67118,0.63192,0.70248,0.37358,1.56821,1.31152,1.73754,0.0003367,0.0003367,0.0003367
69,778.528,1.15441,1.04432,1.36134,0.64888,0.68023,0.72589,0.38336,1.57075,1.28203,1.76334,0.0003268,0.0003268,0.0003268
70,789.144,1.18074,1.04601,1.36749,0.65463,0.68616,0.72145,0.3871,1.56525,1.28433,1.75441,0.0003169,0.0003169,0.0003169
71,802.253,1.17847,1.04551,1.36022,0.6223,0.69556,0.68904,0.35414,1.63662,1.35868,1.80798,0.000307,0.000307,0.000307
72,815.614,1.19324,1.06205,1.37579,0.71953,0.6218,0.71838,0.3733,1.61344,1.2972,1.77067,0.0002971,0.0002971,0.0002971
73,825.441,1.16169,1.01435,1.3459,0.65969,0.65161,0.70879,0.36173,1.62331,1.29511,1.79231,0.0002872,0.0002872,0.0002872
74,836.862,1.15612,1.02306,1.34211,0.5919,0.70912,0.69643,0.358,1.6113,1.3403,1.77538,0.0002773,0.0002773,0.0002773
75,846.08,1.15243,1.03159,1.36047,0.57658,0.70408,0.70651,0.36263,1.6031,1.30452,1.76852,0.0002674,0.0002674,0.0002674
76,853.815,1.1348,1.00701,1.33917,0.72196,0.65278,0.73404,0.39454,1.57249,1.24665,1.76297,0.0002575,0.0002575,0.0002575
77,865.352,1.16757,1.03225,1.35849,0.67711,0.68651,0.73629,0.39211,1.54224,1.26321,1.7377,0.0002476,0.0002476,0.0002476
78,878.059,1.13481,0.99006,1.33285,0.70955,0.64125,0.7245,0.37976,1.56808,1.28547,1.77372,0.0002377,0.0002377,0.0002377
79,889.905,1.14244,0.99522,1.33711,0.69104,0.66231,0.72424,0.38552,1.57687,1.26166,1.76689,0.0002278,0.0002278,0.0002278
80,903.327,1.14922,1.00806,1.34213,0.6475,0.64898,0.7002,0.36282,1.60255,1.30375,1.77725,0.0002179,0.0002179,0.0002179
81,915.005,1.14795,0.99372,1.33839,0.68696,0.66463,0.73301,0.39216,1.56442,1.24244,1.76225,0.000208,0.000208,0.000208
82,927.958,1.13501,1.00165,1.33747,0.70422,0.65582,0.73308,0.38931,1.58526,1.26274,1.7724,0.0001981,0.0001981,0.0001981
83,940.428,1.11135,0.97848,1.3208,0.66937,0.6972,0.73326,0.38634,1.59736,1.24914,1.78307,0.0001882,0.0001882,0.0001882
84,953.529,1.11002,0.95358,1.32382,0.65522,0.67045,0.71834,0.38486,1.59076,1.25037,1.76947,0.0001783,0.0001783,0.0001783
85,967.39,1.12917,0.98132,1.32111,0.70475,0.6855,0.74055,0.39164,1.57068,1.22511,1.76027,0.0001684,0.0001684,0.0001684
86,979.493,1.09677,0.96304,1.32027,0.6556,0.70926,0.73574,0.39285,1.57437,1.23062,1.75864,0.0001585,0.0001585,0.0001585
87,992.856,1.10427,0.95474,1.31997,0.71792,0.67481,0.75288,0.39567,1.57237,1.20667,1.76708,0.0001486,0.0001486,0.0001486
88,1004.06,1.10338,0.95214,1.31333,0.68525,0.67761,0.71651,0.38051,1.57978,1.2683,1.77505,0.0001387,0.0001387,0.0001387
89,1017.35,1.10738,0.94143,1.31618,0.70271,0.67291,0.73164,0.38985,1.57671,1.24336,1.76457,0.0001288,0.0001288,0.0001288
90,1029.48,1.07972,0.93479,1.30422,0.72462,0.67212,0.7321,0.39423,1.56219,1.22736,1.75855,0.0001189,0.0001189,0.0001189
91,1041.96,1.09297,0.91732,1.3435,0.62698,0.70423,0.7119,0.37533,1.60347,1.24791,1.80748,0.000109,0.000109,0.000109
92,1050.62,1.07034,0.8657,1.33218,0.67861,0.71858,0.74153,0.38998,1.5791,1.2314,1.78474,9.91e-05,9.91e-05,9.91e-05
93,1060.69,1.04767,0.83493,1.32528,0.70472,0.66562,0.73144,0.38926,1.57394,1.23482,1.76832,8.92e-05,8.92e-05,8.92e-05
94,1068.96,1.0513,0.83822,1.32596,0.66987,0.69045,0.72445,0.38331,1.59663,1.2361,1.79106,7.93e-05,7.93e-05,7.93e-05
95,1079.81,1.03877,0.80611,1.31011,0.68724,0.68413,0.72737,0.38526,1.59977,1.25037,1.79146,6.94e-05,6.94e-05,6.94e-05
96,1093.35,1.02672,0.81929,1.31115,0.6922,0.67866,0.72659,0.38649,1.58668,1.2481,1.78372,5.95e-05,5.95e-05,5.95e-05
97,1105.41,1.02974,0.80551,1.29998,0.6762,0.69384,0.72617,0.38442,1.59401,1.24689,1.78822,4.96e-05,4.96e-05,4.96e-05
98,1118.55,1.03065,0.80382,1.30597,0.69112,0.68022,0.72396,0.38306,1.60321,1.2479,1.79304,3.97e-05,3.97e-05,3.97e-05
99,1124.96,1.01696,0.79898,1.29468,0.71181,0.65889,0.72001,0.3811,1.59776,1.24755,1.78951,2.98e-05,2.98e-05,2.98e-05
100,1133.85,1.01927,0.79708,1.30595,0.67745,0.67488,0.72571,0.38188,1.59871,1.23623,1.79304,1.99e-05,1.99e-05,1.99e-05
